date,close
2014-01-02,148.19842529296875
2014-01-03,148.17408752441406
2014-01-06,147.7447967529297
2014-01-07,148.65220642089844
2014-01-08,148.68458557128906
2014-01-09,148.78175354003906
2014-01-10,149.1868896484375
2014-01-13,147.20193481445312
2014-01-14,148.80613708496094
2014-01-15,149.6082000732422
2014-01-16,149.4136962890625
2014-01-17,148.78175354003906
2014-01-21,149.2193603515625
2014-01-22,149.3165283203125
2014-01-23,148.09310913085938
2014-01-24,144.9334259033203
2014-01-27,144.2205047607422
2014-01-28,145.0792694091797
2014-01-29,143.68576049804688
2014-01-30,145.20887756347656
2014-01-31,144.35826110839844
2014-02-03,141.10939025878906
2014-02-04,142.09788513183594
2014-02-05,141.91954040527344
2014-02-06,143.79104614257812
2014-02-07,145.57351684570312
2014-02-10,145.8408660888672
2014-02-11,147.4368896484375
2014-02-12,147.5098419189453
2014-02-13,148.27137756347656
2014-02-14,149.0896453857422
2014-02-18,149.2679443359375
2014-02-19,148.27951049804688
2014-02-20,149.15444946289062
2014-02-21,148.98434448242188
2014-02-24,149.8107147216797
2014-02-25,149.75401306152344
2014-02-26,149.76214599609375
2014-02-27,150.5480194091797
2014-02-28,150.9287872314453
2014-03-03,149.86749267578125
2014-03-04,151.9739532470703
2014-03-05,152.1116180419922
2014-03-06,152.46005249023438
2014-03-07,152.52484130859375
2014-03-10,152.4438018798828
2014-03-11,151.69032287597656
2014-03-12,151.7308349609375
2014-03-13,150.0294647216797
2014-03-14,149.6082000732422
2014-03-17,150.96116638183594
2014-03-18,152.03871154785156
2014-03-19,151.22853088378906
2014-03-20,152.1116180419922
2014-03-21,151.5216522216797
2014-03-24,150.89508056640625
2014-03-25,151.61119079589844
2014-03-26,150.52076721191406
2014-03-27,150.20339965820312
2014-03-28,150.9438934326172
2014-03-31,152.1807861328125
2014-04-01,153.1898956298828
2014-04-02,153.7025909423828
2014-04-03,153.4990997314453
2014-04-04,151.68443298339844
2014-04-07,150.0081024169922
2014-04-08,150.6265106201172
2014-04-09,152.2459259033203
2014-04-10,149.04786682128906
2014-04-11,147.70513916015625
2014-04-14,148.8688507080078
2014-04-15,149.89414978027344
2014-04-16,151.4646759033203
2014-04-17,151.67625427246094
2014-04-21,152.20526123046875
2014-04-22,152.89691162109375
2014-04-23,152.53884887695312
2014-04-24,152.8480987548828
2014-04-25,151.5949249267578
2014-04-28,152.0750732421875
2014-04-29,152.78298950195312
2014-04-30,153.2386932373047
2014-05-01,153.25498962402344
2014-05-02,153.0352783203125
2014-05-05,153.3282012939453
2014-05-06,151.9936981201172
2014-05-07,152.88876342773438
2014-05-08,152.72604370117188
2014-05-09,152.9539337158203
2014-05-12,154.44305419921875
2014-05-13,154.58140563964844
2014-05-14,153.84902954101562
2014-05-15,152.49822998046875
2014-05-16,153.0271453857422
2014-05-19,153.58856201171875
2014-05-20,152.62026977539062
2014-05-21,153.90597534179688
2014-05-22,154.28028869628906
2014-05-23,154.8987274169922
2014-05-27,155.85084533691406
2014-05-28,155.73696899414062
2014-05-29,156.54254150390625
2014-05-30,156.79476928710938
2014-06-02,156.9738311767578
2014-06-03,156.8925018310547
2014-06-04,157.20985412597656
2014-06-05,158.23513793945312
2014-06-06,158.9919891357422
2014-06-09,159.15478515625
2014-06-10,159.1710205078125
2014-06-11,158.61767578125
2014-06-12,157.49464416503906
2014-06-13,157.97482299804688
2014-06-16,158.10498046875
2014-06-17,158.54441833496094
2014-06-18,159.7080841064453
2014-06-19,159.88705444335938
2014-06-20,160.2117462158203
2014-06-23,160.1626739501953
2014-06-24,159.19781494140625
2014-06-25,159.91738891601562
2014-06-26,159.80291748046875
2014-06-27,160.113525390625
2014-06-30,160.0318145751953
2014-07-01,161.10296630859375
2014-07-02,161.26644897460938
2014-07-03,162.05955505371094
2014-07-07,161.49542236328125
2014-07-08,160.45700073242188
2014-07-09,161.17654418945312
2014-07-10,160.5387725830078
2014-07-11,160.75955200195312
2014-07-14,161.56903076171875
2014-07-15,161.26644897460938
2014-07-16,161.86341857910156
2014-07-17,160.0236358642578
2014-07-18,161.6589813232422
2014-07-21,161.35646057128906
2014-07-22,162.05955505371094
2014-07-23,162.41937255859375
2014-07-24,162.42750549316406
2014-07-25,161.66708374023438
2014-07-28,161.73260498046875
2014-07-29,161.03758239746094
2014-07-30,161.0620574951172
2014-07-31,157.88131713867188
2014-08-01,157.3989715576172
2014-08-04,158.53550720214844
2014-08-05,156.99830627441406
2014-08-06,157.04736328125
2014-08-07,156.197021484375
2014-08-08,158.00405883789062
2014-08-11,158.46192932128906
2014-08-12,158.2411651611328
2014-08-13,159.312255859375
2014-08-14,160.06451416015625
2014-08-15,160.0318145751953
2014-08-18,161.37277221679688
2014-08-19,162.2149658203125
2014-08-20,162.6482696533203
2014-08-21,163.12257385253906
2014-08-22,162.86907958984375
2014-08-25,163.69497680664062
2014-08-26,163.80120849609375
2014-08-27,163.7357940673828
2014-08-28,163.6458740234375
2014-08-29,164.1119384765625
2014-09-02,164.03013610839844
2014-09-03,163.9402313232422
2014-09-04,163.70310974121094
2014-09-05,164.43898010253906
2014-09-08,164.01376342773438
2014-09-09,162.97540283203125
2014-09-10,163.58865356445312
2014-09-11,163.77671813964844
2014-09-12,162.8199920654297
2014-09-15,162.6973876953125
2014-09-16,163.92388916015625
2014-09-17,164.14463806152344
2014-09-18,165.01954650878906
2014-09-19,164.870849609375
2014-09-22,163.5975799560547
2014-09-23,162.6610870361328
2014-09-24,163.93435668945312
2014-09-25,161.28921508789062
2014-09-26,162.57069396972656
2014-09-29,162.27496337890625
2014-09-30,161.84774780273438
