date,n,ic,alpha,top5_mean_ret,universe_mean_ret,momentum_ic
2025-01-08,492,-0.32133138490554214,-0.10903012007474899,-0.19681064784526825,-0.08778052777051926,-0.04278436685954463
2025-01-24,492,-0.33623316969589556,-0.032097525894641876,-0.1070527583360672,-0.07495523244142532,-0.18727295645570197
2025-02-07,492,-0.2366963931885098,-0.12189298868179321,-0.16343700885772705,-0.041544023901224136,-0.19434740986094834
2025-02-24,492,0.0019485957243745152,0.053515493869781494,0.02676703967154026,-0.026748456060886383,0.050809288410404746
2025-03-10,492,0.3110414815413403,0.31810814142227173,0.35778918862342834,0.039681050926446915,0.1781660750884949
2025-03-24,492,0.16912065726086425,0.12061725556850433,0.1522010862827301,0.03158383071422577,0.16602793286125977
2025-04-07,492,0.510674957325663,0.22287265956401825,0.42959460616111755,0.2067219465970993,-0.30495850556139237
2025-04-22,492,0.4465103470846079,0.11723639070987701,0.28573861718177795,0.16850222647190094,-0.3646595529504867
2025-05-06,492,0.3396001625458722,0.10328280925750732,0.19759707152843475,0.09431426227092743,-0.13858466396018854
2025-05-20,492,0.23957913395454497,-0.040158919990062714,0.014784509316086769,0.054943427443504333,-0.05595479427196085
2025-06-04,492,0.23901588610826266,-0.01678108423948288,0.06666453927755356,0.08344562351703644,-0.13522684026119788
2025-06-18,492,0.24978913471729747,0.23543348908424377,0.32610028982162476,0.09066680818796158,-0.08339131225966874
2025-07-03,492,0.16760099643481244,0.042175401002168655,0.09004241973161697,0.04786701872944832,0.08350446562842993
2025-07-18,492,0.1925386688790854,0.033511798828840256,0.07015971839427948,0.036647919565439224,0.0738972105931302
2025-08-01,492,0.19940968804432385,0.1295745074748993,0.1830824315547943,0.05350792035460472,0.06953481068171832
2025-08-15,492,0.09378681200006087,0.0065633561462163925,0.036980364471673965,0.030417008325457573,0.13641661317155593
2025-08-29,492,0.021180738777639322,0.1135542243719101,0.14893537759780884,0.035381149500608444,0.20404847236402776
2025-09-15,492,0.13117493528884125,0.17205822467803955,0.21263960003852844,0.04058137163519859,0.09004650371708312
2025-09-29,492,0.08687820939176992,-0.07378658652305603,-0.036514781415462494,0.037271808832883835,0.12417096013001251
2025-10-13,492,0.1129703887810702,0.5415216684341431,0.6133607029914856,0.07183905690908432,0.24307036376238678
2025-10-27,492,0.025768135547861303,0.3355746269226074,0.38081806898117065,0.04524343088269234,0.20144403044440254
2025-11-10,492,0.0665762984701725,0.240258127450943,0.32947874069213867,0.08922060579061508,0.10356102619122637
2025-11-24,491,0.07990681444700477,0.48418837785720825,0.5887985825538635,0.10461018979549408,0.15440791387838232
2025-12-09,491,-0.08141043511935597,0.33758488297462463,0.35720160603523254,0.01961672306060791,0.09302963547944637
2025-12-23,491,-0.05442950713641971,0.4476349949836731,0.44253063201904297,-0.005104372277855873,0.13874834122213783
2026-01-08,491,0.03038627601455365,1.0213159322738647,1.0314812660217285,0.010165300220251083,0.19458090324699748
