date,n,ic,alpha,top5_mean_ret,universe_mean_ret,momentum_ic
2021-01-15,491,0.1451275776318177,-0.046070463955402374,0.06804785132408142,0.1141183152794838,0.0798528819903104
2021-02-01,491,0.23201195435205524,0.029912739992141724,0.18722017109394073,0.157307431101799,0.15112259597594938
2021-02-16,491,-0.08095859872934322,-0.20699460804462433,-0.10785768181085587,0.09913692623376846,-0.11781443788085995
2021-03-02,491,-0.16273399032257083,-0.20492121577262878,-0.09477483481168747,0.11014637351036072,-0.06978930860009792
2021-03-16,491,-0.13114599374099647,-0.23195701837539673,-0.15166206657886505,0.08029495179653168,-0.13771825157463513
2021-03-30,491,0.12813560971554686,-0.10120216012001038,-0.027706244960427284,0.07349591702222824,-0.08367103634459595
2021-04-14,491,-0.10349101142617892,-0.15301719307899475,-0.10743816196918488,0.04557902365922928,-0.1896721372966255
2021-04-28,491,-0.16131643855197436,-0.17190049588680267,-0.13875360786914825,0.03314689174294472,-0.22014326569135426
2021-05-12,492,0.04331718521574156,-0.14060279726982117,-0.05906769633293152,0.08153510838747025,-0.059701349668797164
2021-05-26,492,-0.18825365257159926,0.04407796636223793,0.0988432988524437,0.054765332490205765,-0.06426526938209898
2021-06-10,492,-0.08836330957179762,-0.1019589900970459,-0.065321184694767,0.0366378054022789,-0.08692062931006773
2021-06-24,492,-0.09693283838726524,-0.053636111319065094,-0.019700154662132263,0.03393595665693283,0.04811658081755173
2021-07-09,492,0.015889030299812094,0.1051689088344574,0.1198827400803566,0.014713830314576626,0.10950495350787032
2021-07-23,492,0.017438415735915955,0.3265336751937866,0.3774457275867462,0.05091206729412079,0.09940417647774219
2021-08-06,492,0.25452454778200756,0.2330828458070755,0.2863306403160095,0.05324779078364372,0.056811051910191084
2021-08-20,492,0.3445089834001086,0.14801445603370667,0.2131030261516571,0.06508857011795044,-0.09664154151363337
2021-09-03,492,-0.022673395950237908,0.08529902249574661,0.08197357505559921,-0.003325443947687745,-0.016253781141232836
2021-09-20,492,-0.02744760157681184,0.02448407933115959,0.08134177327156067,0.05685769394040108,-0.003029850221414844
2021-10-04,492,0.03645906331782403,-0.1302509605884552,-0.03198413923382759,0.09826681762933731,-0.0005504513388622979
2021-10-18,492,-0.17667271259658968,-0.05814823508262634,-0.030905520543456078,0.027242714539170265,-0.21397936820116267
2021-11-01,492,-0.08865400188602383,0.027429815381765366,0.018574457615613937,-0.008855358697474003,-0.3199016019111332
2021-11-15,492,-0.16718889265143166,-0.11174459010362625,-0.14494013786315918,-0.03319554775953293,-0.40776923342192917
2021-11-30,492,0.08302001202468658,-0.10084330290555954,-0.09065775573253632,0.010185549035668373,-0.45593300998137654
2021-12-14,492,0.042600278520518196,-0.1623152196407318,-0.18371328711509705,-0.021398067474365234,-0.2246119559884783
2021-12-29,492,-0.12071338412908632,0.02051311358809471,0.006808014120906591,-0.013705099932849407,-0.18663121664658355
